,Monotonicity Nguyen,Local Lipschitz Estimate,Faithfulness Estimate,Faithfulness Correlation,Avg-Sensitivity,Random Logit,Max-Sensitivity,Sparseness,EffectiveComplexity,Monotonicity Arya,Complexity,Pixel-Flipping,Selectivity,Model Parameter Randomisation
integratedgrad,0.4336818181818182,0.16654545454545455,0.26127272727272727,0.4401818181818182,0.22354545454545455,0.2511818181818182,0.22359090909090906,0.20531818181818184,0.30777272727272725,0.5773636363636364,0.20431818181818182,0.14363636363636365,0.4317727272727273,0.8303181818181818
smoothgrad,0.42922727272727274,0.3341363636363636,0.4715909090909091,0.5365454545454545,0.09090909090909091,0.1987727272727273,0.09090909090909091,0.647,0.7602727272727272,0.6074545454545455,0.6597727272727273,0.5210909090909092,0.4882727272727273,0.18254545454545454
guidedbackprop,0.6178636363636364,0.13645454545454544,0.7265909090909091,0.5764090909090909,0.23268181818181818,0.20622727272727273,0.23268181818181818,0.1020909090909091,0.1963181818181818,0.6087272727272727,0.10090909090909092,0.5830454545454545,0.5071363636363636,0.8752727272727273
rise,0.5991818181818181,0.8577727272727272,0.501090909090909,0.5462272727272727,0.9448636363636363,0.6560909090909091,0.9449545454545455,0.9494545454545456,0.7477954545454545,0.5116363636363637,0.9447272727272726,0.5545454545454546,0.5136818181818182,0.5310909090909091
gradcam,0.439,0.5685909090909091,0.49454545454545457,0.5307272727272727,0.48245454545454547,0.5418636363636363,0.48254545454545456,0.42900000000000005,0.32220454545454547,0.564,0.4256818181818182,0.5975909090909091,0.6402727272727273,0.4881818181818182
scorecam,0.4346363636363636,0.6350454545454546,0.5149545454545454,0.5399090909090909,0.5338181818181819,0.6318181818181818,0.5337727272727273,0.5630909090909091,0.5347045454545455,0.5774545454545454,0.5588181818181819,0.6165454545454545,0.6318181818181818,0.47881818181818186
layercam,0.3911818181818182,0.8455454545454546,0.5328181818181817,0.5477272727272727,0.7156363636363636,0.7958181818181818,0.7158636363636364,0.7797272727272727,0.7602727272727272,0.5784545454545454,0.7775454545454547,0.6036363636363636,0.629,0.512909090909091
random,0.754090909090909,0.7456818181818182,0.9210909090909091,0.5986818181818182,0.6540454545454545,0.997409090909091,0.6537272727272727,0.6172272727272727,0.6384318181818182,0.5240454545454546,0.6054090909090909,0.6024545454545455,0.40709090909090906,0.8430454545454545
sobel,0.8438181818181818,0.28477272727272723,0.5797727272727273,0.5816818181818182,0.9361818181818182,0.3262272727272727,0.9361363636363635,0.29563636363636364,0.5438409090909091,0.4624318181818182,0.29709090909090907,0.6216818181818181,0.5640454545454546,0.5176818181818181
gaussian,0.5392727272727273,0.9676363636363636,0.49054545454545456,0.5563181818181818,0.8193181818181817,0.8991363636363636,0.8193181818181817,0.9317272727272727,0.7602727272727272,0.4146590909090909,0.9370909090909091,0.6508181818181819,0.5686818181818182,0.1405
polycam,0.5180454545454546,0.4578181818181818,0.5057272727272727,0.5455909090909091,0.36654545454545456,0.4954545454545455,0.36650000000000005,0.4797272727272727,0.42811363636363636,0.5737727272727272,0.48863636363636365,0.5049545454545454,0.6182272727272727,0.5996363636363636
